2021-01-27 at 09:03:55 | INFO | Polling ON
2021-01-27 at 09:03:55 | INFO | Data Base is ready to use
2021-01-27 at 09:03:56 | INFO | Done
2021-01-27 at 09:03:57 | INFO | exit from DB
2021-01-27 at 09:03:58 | DEBUG | Fault reading
2021-01-27 at 09:03:58 | INFO | Data Base is ready to use
2021-01-27 at 09:03:59 | INFO | Done
2021-01-27 at 09:04:00 | INFO | exit from DB
2021-01-27 at 09:04:00 | DEBUG | Fault reading
2021-01-27 at 09:04:00 | INFO | Data Base is ready to use
2021-01-27 at 09:04:01 | INFO | Done
2021-01-27 at 09:04:01 | INFO | exit from DB
2021-01-27 at 09:04:02 | DEBUG | Fault reading
2021-01-27 at 09:04:03 | INFO | Data Base is ready to use
2021-01-27 at 09:04:03 | INFO | Done
2021-01-27 at 09:04:03 | INFO | exit from DB
2021-01-27 at 09:04:04 | DEBUG | Fault reading
2021-01-27 at 09:04:05 | INFO | Data Base is ready to use
2021-01-27 at 09:04:06 | INFO | Done
2021-01-27 at 09:04:06 | INFO | exit from DB
2021-01-27 at 09:04:06 | DEBUG | Fault reading
2021-01-27 at 09:04:06 | INFO | Data Base is ready to use
2021-01-27 at 09:04:07 | INFO | Done
2021-01-27 at 09:04:08 | INFO | exit from DB
2021-01-27 at 09:04:08 | DEBUG | Fault reading
2021-01-27 at 09:04:08 | INFO | Disconnected for end of polling this device
2021-01-27 at 09:04:08 | INFO | Polling ON
2021-01-27 at 09:04:08 | INFO | Data Base is ready to use
2021-01-27 at 09:04:08 | INFO | Done
2021-01-27 at 09:04:09 | INFO | exit from DB
2021-01-27 at 09:04:09 | DEBUG | Fault reading
2021-01-27 at 09:04:09 | INFO | Data Base is ready to use
2021-01-27 at 09:04:10 | INFO | Done
2021-01-27 at 09:04:11 | INFO | exit from DB
2021-01-27 at 09:04:11 | DEBUG | Fault reading
2021-01-27 at 09:04:12 | INFO | Data Base is ready to use
2021-01-27 at 09:04:13 | INFO | Done
2021-01-27 at 09:04:14 | INFO | exit from DB
2021-01-27 at 09:04:15 | DEBUG | Fault reading
2021-01-27 at 09:04:15 | INFO | Data Base is ready to use
2021-01-27 at 09:04:16 | INFO | Done
2021-01-27 at 09:04:16 | INFO | exit from DB
2021-01-27 at 09:04:16 | DEBUG | Fault reading
2021-01-27 at 09:04:17 | INFO | Data Base is ready to use
2021-01-27 at 09:04:17 | INFO | Done
2021-01-27 at 09:04:18 | INFO | exit from DB
2021-01-27 at 09:04:18 | DEBUG | Fault reading
2021-01-27 at 09:04:18 | INFO | Data Base is ready to use
2021-01-27 at 09:04:19 | INFO | Done
2021-01-27 at 09:04:20 | INFO | exit from DB
2021-01-27 at 09:04:20 | DEBUG | Fault reading
